id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SCARB2	3	1.0	1.0	1.0	21471	0	8.2384	3.6974e-13	2.3057e-07	0.001238	1	3	8.2384
SLC35B2	3	1.0	1.0	1.0	21470	0	6.2257	1.6662e-10	2.3057e-07	0.001238	2	3	6.2257
B3GAT3	3	1.0	1.0	1.0	21469	0	4.2214	1.3021e-08	2.3057e-07	0.001238	3	3	4.2214
XYLT2	3	1.0	1.0	1.0	21468	0	3.945	7.3392e-08	2.3057e-07	0.001238	4	3	3.945
ATL1	3	1.0	1.0	1.0	21467	0	3.331	2.5227e-06	8.9921e-06	0.038614	5	3	3.331
PSAT1	3	0.99999	0.99999	1.0	21466	0	2.6325	1.0039e-05	3.2971e-05	0.117987	6	3	2.6325
ZNF277	3	0.99997	0.99998	1.0	21465	0	2.7284	2.8786e-05	8.9229e-05	0.273692	7	3	2.7284
LYSMD2	3	0.87073	0.87081	1.0	18456	1	3.5105	5.6507e-05	0.00016947	0.410891	8	2	3.5105
TIA1	3	0.11556	0.24991	1.0	5150	1	3.4245	7.9594e-05	0.00023679	0.433333	9	2	3.4245
hsa-mir-7159	4	0.99992	0.99992	1.0	21464	0	1.3424	7.9945e-05	0.00030273	0.433333	10	4	1.3424
CRYGD	3	0.99991	0.99991	1.0	21463	0	2.6145	8.6565e-05	0.00025339	0.433333	11	3	2.6145
MAD2L1BP	3	0.99991	0.99991	1.0	21462	0	1.9051	9.2208e-05	0.00026999	0.433333	12	3	1.9051
MAL	3	0.71749	0.75784	1.0	15876	1	3.376	9.501e-05	0.00027599	0.433333	13	2	3.376
B3GALT6	3	0.9999	0.9999	1.0	21461	0	2.1206	9.7279e-05	0.00028383	0.433333	14	3	2.1206
AAR2	3	0.93082	0.93084	1.0	19849	0	1.9116	0.00011962	0.00035761	0.479889	15	2	1.9116
ZNF451	3	0.99986	0.99986	1.0	21460	0	2.1937	0.00014233	0.00042632	0.504169	16	3	2.1937
CDH13	3	0.56988	0.68375	1.0	14149	1	3.1907	0.00014873	0.00044615	0.504169	17	2	3.1907
NonTargetingControlGuideForHuman_0616	1	0.99983	0.99985	1.0	21459	0	6.0054	0.00016747	0.00017223	0.410891	18	1	6.0054
PTGER1	3	0.99981	0.99981	1.0	21458	0	1.8372	0.00019081	0.00055613	0.571014	19	3	1.8372
SMIM19	3	0.99979	0.99979	1.0	21457	0	2.2764	0.00020795	0.00060662	0.571014	20	3	2.2764
ASIC5	3	0.99978	0.99978	1.0	21456	0	2.2774	0.00021767	0.00064259	0.571014	21	3	2.2774
ROBO3	3	0.99977	0.99976	1.0	21455	0	1.808	0.00023128	0.0006887	0.571014	22	3	1.808
MAP1LC3B2	3	0.99977	0.99976	1.0	21454	0	1.7576	0.0002349	0.00069608	0.571014	23	3	1.7576
MPZL3	3	0.99975	0.99974	1.0	21453	0	2.7009	0.00025225	0.0007385	0.571014	24	3	2.7009
KDM3A	3	0.90184	0.90189	1.0	19173	0	3.0105	0.00025384	0.00074404	0.571014	25	2	3.0105
FNIP2	3	0.99974	0.99973	1.0	21452	0	1.7483	0.00025803	0.00075879	0.571014	26	3	1.7483
BABAM1	3	0.146	0.28992	1.0	5989	2	-3.5945	0.00026315	0.00077125	0.571014	27	1	-3.5945
SLC28A2	3	0.79753	0.80951	1.0	17086	1	0.57059	0.00031099	0.00090682	0.64901	28	1	0.57059
TMEM14B	2	0.99966	0.99964	1.0	21451	0	2.3578	0.00034497	0.00066334	0.571014	29	2	2.3578
