id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
NF2	3	1.0	1.0	0.999998	21472	0	1.113	1.5833e-06	5.7639e-06	0.123762	1	3	1.113
SCN4A	3	0.13438	0.23951	0.999998	4955	1	2.6529	4.338e-06	1.4986e-05	0.136964	2	2	2.6529
PTEN	3	0.99999	1.0	0.999998	21471	0	1.541	5.6149e-06	1.9136e-05	0.136964	3	3	1.541
SPPL3	2	0.99363	0.99364	0.999998	21282	0	2.5674	1.5933e-05	3.0664e-05	0.164604	4	2	2.5674
CALCB	3	0.99998	0.99999	0.999998	21470	0	1.0534	1.8688e-05	5.787e-05	0.248515	5	3	1.0534
STXBP3	3	0.83967	0.83956	0.999998	17459	0	0.054017	7.1699e-05	0.00021465	0.658416	6	1	0.054017
PRAC1	2	0.99992	0.99992	0.999998	21469	0	1.4215	8.4376e-05	0.000169	0.604785	7	2	1.4215
AFF2	3	0.99991	0.99991	0.999998	21468	0	0.81982	8.5649e-05	0.00025154	0.675124	8	3	0.81982
LIN9	3	0.99989	0.99989	0.999998	21467	0	1.1182	0.00011438	0.00034099	0.712252	9	3	1.1182
ARL5A	3	0.99986	0.99986	0.999998	21466	0	1.0202	0.00013829	0.00040924	0.712252	10	3	1.0202
hsa-mir-6855	4	0.70808	0.75595	0.999998	14617	1	0.41826	0.00015933	0.00063933	0.712252	11	3	0.41826
METTL3	3	0.99984	0.99984	0.999998	21465	0	0.90599	0.00016103	0.00047518	0.712252	12	3	0.90599
CTDSP2	3	0.30082	0.43862	0.999998	8698	2	-0.20202	0.00016729	0.00048947	0.712252	13	1	-0.20202
HIST1H2BI	3	0.99982	0.99983	0.999998	21464	0	0.92489	0.00017545	0.00051668	0.712252	14	3	0.92489
SLC6A6	3	0.95017	0.95033	0.999998	20165	0	1.0426	0.00020129	0.000584	0.712252	15	2	1.0426
hsa-mir-190a	3	0.63889	0.66429	0.999998	13512	1	-0.47177	0.00021509	0.00063149	0.712252	16	1	-0.47177
