id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CSF3	3	1.0	1.0	1.0	21474	0	2.7166	5.012e-09	2.3053e-07	0.002475	1	3	2.7166
SCARB2	3	1.0	1.0	1.0	21473	0	1.0914	5.1532e-09	2.3053e-07	0.002475	2	3	1.0914
MTRNR2L4	3	0.88782	0.88785	0.999934	18681	0	1.0024	2.3374e-05	7.2157e-05	0.443423	3	2	1.0024
hsa-mir-190a	4	0.95437	0.95424	0.999934	20283	0	0.19324	3.1839e-05	0.00012472	0.443423	4	1	0.19324
FBXO33	3	0.99861	0.99862	0.999934	21442	0	0.84677	4.0646e-05	0.00012633	0.443423	5	3	0.84677
CSF1R	3	0.40729	0.47371	0.999934	9373	1	0.78919	4.6826e-05	0.00014455	0.443423	6	2	0.78919
FAM72A	2	0.99993	0.99994	1.0	21472	0	0.70285	6.787e-05	0.00012795	0.443423	7	2	0.70285
RPL21	3	0.64442	0.64809	0.999934	13206	1	1.037	7.1636e-05	0.00021463	0.536304	8	2	1.037
KAT2B	3	0.99993	0.99993	1.0	21471	0	1.0076	7.4868e-05	0.00022477	0.536304	9	3	1.0076
UPP2	3	0.99989	0.99989	1.0	21470	0	0.52558	0.00011475	0.00034188	0.69622	10	3	0.52558
C10orf131	3	0.92354	0.92353	0.999934	19516	0	0.27386	0.00011939	0.00035664	0.69622	11	2	0.27386
C8orf86	3	0.99986	0.99987	1.0	21469	0	0.50677	0.00013514	0.00040136	0.718234	12	3	0.50677
PNISR	3	0.99985	0.99985	1.0	21468	0	0.61131	0.0001512	0.00045162	0.746002	13	3	0.61131
HEYL	3	0.95035	0.95052	0.999934	20167	0	0.34174	0.00016715	0.00048896	0.75	14	2	0.34174
hsa-mir-484	4	0.99832	0.99833	0.999934	21434	0	1.5211	0.00017503	0.00069276	0.837318	15	4	1.5211
KCNN2	3	0.84783	0.84777	0.999934	17729	0	0.30734	0.0002149	0.00063143	0.837318	16	2	0.30734
SYN1	3	0.99977	0.99977	1.0	21467	0	0.58902	0.00022658	0.00067155	0.837318	17	3	0.58902
AMER3	3	0.9263	0.9263	0.999934	19573	0	0.12584	0.00026265	0.00077022	0.837318	18	2	0.12584
hsa-mir-548o-2	3	0.99729	0.9973	0.999934	21401	0	1.0916	0.0003104	0.00090208	0.837318	19	3	1.0916
ZNF629	3	0.99968	0.99968	1.0	21466	0	0.45561	0.00032044	0.00093804	0.837318	20	3	0.45561
METTL15	3	0.99967	0.99967	1.0	21465	0	0.52714	0.00032787	0.00095948	0.837318	21	3	0.52714
GRIN3A	3	0.99966	0.99966	1.0	21464	0	0.52794	0.00033982	0.00099937	0.837318	22	3	0.52794
OR10G7	3	0.94178	0.94185	0.999934	19946	0	0.37441	0.00035815	0.0010552	0.837318	23	2	0.37441
SNAI2	3	0.94638	0.94651	0.999934	20070	0	0.7219	0.00039275	0.0011511	0.837318	24	2	0.7219
TNFRSF8	3	0.96189	0.96198	0.999934	20474	0	0.74688	0.00039383	0.0011538	0.837318	25	3	0.74688
BBIP1	3	0.9996	0.9996	1.0	21463	0	0.41733	0.00039565	0.0011584	0.837318	26	3	0.41733
DSC2	3	0.99643	0.99648	0.999934	21370	0	0.77879	0.00040257	0.0011796	0.837318	27	3	0.77879
hsa-mir-4727	4	0.56438	0.63078	0.999934	11779	1	0.5348	0.00040637	0.0015513	0.837318	28	3	0.5348
hsa-mir-6509	4	0.99951	0.99949	1.0	21462	0	0.4863	0.00049287	0.0018634	0.837318	29	4	0.4863
P2RY6	3	0.60459	0.6143	0.999934	12470	1	0.61773	0.00050138	0.0014535	0.837318	30	2	0.61773
ARHGAP30	3	0.41156	0.47637	0.999934	9438	1	0.0245	0.00054912	0.0015854	0.837318	31	1	0.0245
AKAP4	3	0.91799	0.91798	0.999934	19384	0	0.63507	0.00055267	0.0015978	0.837318	32	2	0.63507
CXCL2	3	0.9069	0.90689	0.999934	19122	0	0.61665	0.00055396	0.0016024	0.837318	33	2	0.61665
hsa-mir-211	4	0.9792	0.97928	0.999934	20901	0	0.43902	0.00058683	0.0022138	0.837318	34	3	0.43902
hsa-mir-3658	4	0.65981	0.68838	0.999934	13521	1	0.076084	0.0006048	0.0022715	0.837318	35	2	0.076084
TSKS	3	0.75153	0.75145	0.999934	15519	0	0.26376	0.0006446	0.0018597	0.837318	36	2	0.26376
hsa-mir-5007	4	0.99933	0.99933	0.999934	21461	0	0.38203	0.00066928	0.0024988	0.837318	37	4	0.38203
CEBPA	3	0.9624	0.9625	0.999934	20490	0	1.6426	0.00067853	0.0019556	0.837318	38	3	1.6426
LAMTOR5	3	0.97161	0.97166	0.999934	20718	0	0.63257	0.00068566	0.0019718	0.837318	39	3	0.63257
TCF23	3	0.58063	0.59484	0.999934	12060	1	0.36337	0.00069234	0.0019902	0.837318	40	2	0.36337
GPR173	3	0.45639	0.5052	0.999934	10074	1	0.75032	0.00069859	0.0020077	0.837318	41	2	0.75032
POU2F3	3	0.99929	0.99929	0.999934	21460	0	0.4161	0.00070795	0.0020335	0.837318	42	3	0.4161
ITGA11	3	0.99929	0.99929	0.999934	21459	0	0.4064	0.00071213	0.0020418	0.837318	43	3	0.4064
L3HYPDH	3	0.72256	0.72238	0.999934	14861	0	0.55291	0.00072186	0.00207	0.837318	44	2	0.55291
ST6GALNAC3	3	0.99922	0.99922	0.999934	21458	0	0.65436	0.00077603	0.00223	0.837318	45	3	0.65436
PRSS42	3	0.99922	0.99922	0.999934	21457	0	0.38355	0.00078332	0.002247	0.837318	46	3	0.38355
DUX2	3	0.69573	0.69553	0.999934	14280	1	0.055432	0.00078781	0.0022618	0.837318	47	1	0.055432
PMAIP1	3	0.99364	0.99375	0.999934	21284	0	0.43243	0.00081248	0.0023254	0.837318	48	3	0.43243
hsa-mir-4653	4	0.99918	0.99918	0.999934	21456	0	0.37587	0.00081591	0.0030161	0.837318	49	4	0.37587
KCTD16	3	0.48538	0.52479	0.999934	10534	1	0.64395	0.00082027	0.002348	0.837318	50	2	0.64395
BZW1	3	0.99916	0.99915	0.999934	21455	0	0.5103	0.0008445	0.0024125	0.837318	51	3	0.5103
CRY1	3	0.75719	0.75714	0.999934	15653	0	0.45107	0.00085339	0.0024361	0.837318	52	2	0.45107
EBF3	3	0.99914	0.99914	0.999934	21454	0	0.4582	0.00085996	0.002455	0.837318	53	3	0.4582
CFC1B	2	0.99914	0.99914	0.999934	21453	0	1.4574	0.00086222	0.0016499	0.837318	54	2	1.4574
NonTargetingControlGuideForHuman_0820	1	0.99913	0.99917	0.999934	21452	0	1.1944	0.00086761	0.00087119	0.837318	55	1	1.1944
STOML3	3	0.99912	0.99911	0.999934	21451	0	0.60377	0.00088305	0.00252	0.837318	56	3	0.60377
CKMT1A	3	0.98532	0.98544	0.999934	21066	0	0.17849	0.00088327	0.0025209	0.837318	57	3	0.17849
APPL2	3	0.84837	0.8483	0.999934	17746	0	0.51147	0.000931	0.0026555	0.837318	58	2	0.51147
B4GALNT4	3	0.99906	0.99907	0.999934	21450	0	0.46102	0.00093594	0.0026712	0.837318	59	3	0.46102
hsa-mir-412	4	0.11715	0.24179	0.999934	3982	2	-0.28523	0.00098664	0.003639	0.837318	60	2	-0.28523
OR4L1	3	0.2375	0.3586	0.999934	6891	1	0.44053	0.00099407	0.0028275	0.837318	61	2	0.44053
NonTargetingControlGuideForHuman_0624	1	0.99899	0.99902	0.999934	21449	0	2.3841	0.0010109	0.0010067	0.837318	62	1	2.3841
ARHGAP25	3	0.11397	0.19759	0.999934	3915	2	-0.24102	0.0010265	0.0029257	0.837318	63	1	-0.24102
BCAP29	3	0.97889	0.97897	0.999934	20891	0	0.6346	0.0010742	0.0030613	0.837318	64	3	0.6346
hsa-mir-498	4	0.99892	0.99892	0.999934	21448	0	0.42334	0.0010827	0.003988	0.837318	65	4	0.42334
STPG2	3	0.99715	0.99715	0.999934	21394	0	0.55866	0.001107	0.0031461	0.837318	66	3	0.55866
IDI2	3	0.99685	0.99689	0.999934	21384	0	0.37445	0.0011215	0.0031844	0.837318	67	3	0.37445
SAT2	3	0.99314	0.99324	0.999934	21266	0	0.78903	0.0011696	0.0033222	0.837318	68	3	0.78903
PHACTR1	3	0.99882	0.99883	0.999934	21447	0	0.44624	0.0011766	0.0033421	0.837318	69	3	0.44624
FRY	3	0.35183	0.43987	0.999934	8638	1	0.96156	0.00119	0.0033766	0.837318	70	2	0.96156
AVP	3	0.99877	0.99878	0.999934	21446	0	0.46727	0.0012323	0.0034924	0.837318	71	3	0.46727
ZNF385A	3	0.88814	0.88816	0.999934	18691	0	0.044272	0.0012651	0.003579	0.837318	72	1	0.044272
NonTargetingControlGuideForHuman_0325	1	0.99872	0.99875	0.999934	21445	0	0.8722	0.0012815	0.0012751	0.837318	73	1	0.8722
NAAA	3	0.9987	0.99871	0.999934	21444	0	0.45286	0.001301	0.0036763	0.837318	74	3	0.45286
hsa-mir-4493	4	0.28919	0.4266	0.999934	7806	2	-0.02786	0.0013048	0.0047792	0.837318	75	2	-0.02786
GTPBP10	3	0.72122	0.72099	0.999934	14827	0	0.072753	0.0013128	0.0037132	0.837318	76	1	0.072753
hsa-mir-645	4	0.99867	0.99866	0.999934	21443	0	0.45026	0.001332	0.0048737	0.837318	77	4	0.45026
CYFIP2	3	0.22237	0.3394	0.999934	6537	1	0.59915	0.0013628	0.003852	0.837318	78	2	0.59915
GSK3A	3	0.99858	0.99859	0.999934	21441	0	0.37854	0.00142	0.003994	0.837318	79	3	0.37854
CEP164	3	0.89831	0.89839	0.999934	18939	0	0.38137	0.0014216	0.0039982	0.837318	80	2	0.38137
SGK196	2	0.99857	0.99857	0.999934	21440	0	0.81787	0.0014301	0.00275	0.837318	81	2	0.81787
