id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
EMC2	3	0.24008	0.39028	0.999581	8195	1	8.2239	4.2919e-08	2.3055e-07	0.00495	1	2	8.2239
SSR3	3	1.0	1.0	0.999998	21473	0	4.574	1.6272e-06	5.7636e-06	0.051155	2	3	4.574
SSR2	3	1.0	1.0	0.999998	21472	0	5.6428	2.0344e-06	7.1469e-06	0.051155	3	3	5.6428
EMC3	3	0.95688	0.95706	0.999581	20480	0	5.6201	4.0077e-06	1.3602e-05	0.07302	4	2	5.6201
HDLBP	3	0.94423	0.94436	0.999581	20199	0	4.5517	2.5644e-05	7.7694e-05	0.333663	5	2	4.5517
LSM12	3	0.94393	0.94405	0.999581	20194	0	4.4031	3.7349e-05	0.00011735	0.364215	6	2	4.4031
MMGT1	3	0.99996	0.99997	0.999998	21471	0	4.0916	3.7918e-05	0.00011873	0.364215	7	3	4.0916
HIPK1	3	0.87988	0.87991	0.999581	18824	0	4.2302	6.5081e-05	0.00019619	0.468812	8	2	4.2302
SPCS3	3	0.23052	0.38014	0.999581	7983	2	-4.4471	7.1766e-05	0.00021464	0.468812	9	1	-4.4471
LOC730183	3	0.49667	0.65136	0.999581	13571	1	1.1182	0.00011961	0.00035711	0.599835	10	1	1.1182
ERP44	3	0.99986	0.99987	0.999998	21470	0	3.6103	0.00013562	0.0004023	0.599835	11	3	3.6103
CCBL2	3	0.85213	0.85334	0.999581	18244	1	3.7223	0.00015549	0.00046317	0.599835	12	2	3.7223
MAP4K3	3	0.91247	0.91244	0.999581	19509	0	3.8091	0.00016594	0.0004876	0.599835	13	2	3.8091
OR5M8	3	0.031012	0.077505	0.979807	1648	1	-1.2855	0.00016745	0.00048945	0.599835	14	1	-1.2855
LPHN2	3	0.20181	0.35	0.999581	7320	1	3.6683	0.00016807	0.00049129	0.599835	15	2	3.6683
ARHGEF11	3	0.99979	0.99979	0.999997	21469	0	1.9323	0.00020857	0.00060749	0.646629	16	3	1.9323
BUB3	3	0.96948	0.96955	0.999581	20773	0	3.7686	0.00020954	0.00061118	0.646629	17	2	3.7686
EMC6	3	0.95438	0.95457	0.999581	20411	0	0.75603	0.00021529	0.00063239	0.646629	18	1	0.75603
NonTargetingControlGuideForHuman_0738	1	0.99978	0.99981	0.999997	21468	0	7.4851	0.0002153	0.00021833	0.468812	19	1	7.4851
hsa-mir-568	4	0.33611	0.55001	0.999581	10224	1	2.1563	0.00022494	0.00067757	0.651959	20	2	2.1563
MRM1	3	0.99976	0.99976	0.999997	21467	0	2.0913	0.00023558	0.00069832	0.651959	21	3	2.0913
